stabbrev	provnum	provname	cases_adj_524	deaths_adj_524	cases_underreport	deaths_underreport	fed_data_524	fed_qa_524	fed_cases_res_524	fed_deaths_res_524	state_deaths_res_524	state_cases_res_524
"CA"	"055001"	"REDLANDS HEALTHCARE CENTER"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055002"	"COUNTRY MANOR HEALTHCARE"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055003"	"EUREKA REHABILITATION & WELLNESS CENTER, LP"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055008"	"EDGEMOOR HOSPITAL"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055011"	"ACACIA PARK NURSING & REHAB CENTER"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055013"	"EISENBERG VILLAGE"	15	6	0	0	"Y"	"Y"	15	6	5	15
"CA"	"055014"	"FAIRFIELD POST-ACUTE REHAB"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055016"	"MOUNT SAN ANTONIO GARDENS"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055017"	"HEARTS & HANDS, POST ACUTE CARE & REHAB CENTER"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055022"	"MARY HEALTH OF THE SICK CONVALESCENT & NURSING HOS"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055028"	"LOS BANOS NURSING & REHABILITATION CENTER"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055032"	"THE EARLWOOD"	33	5	33	5	"Y"	"Y"	0	0	5	33
"CA"	"055034"	"MOTION PICTURE AND T.V. HOSP D/P SNF"	17	6	0	0	"Y"	"Y"	17	6	5	17
"CA"	"055036"	"MAPLE HEALTHCARE CENTER"	0	0	0	0	"Y"	"N"	0	0	0	0
"CA"	"055039"	"GOOD SAMARITAN REHAB AND CARE CENTER"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055041"	"ROYAL CARE SKILLED NURSING CTR"	11	5	0	1	"Y"	"Y"	11	4	5	11
"CA"	"055042"	"ALTA VISTA HEALTHCARE & WELLNESS CENTRE"	5	5	5	5	"Y"	"N"	0	0	5	5
"CA"	"055045"	"RIVIERA HEALTHCARE CENTER"	85	5	85	4	"Y"	"Y"	0	1	5	85
"CA"	"055047"	"PALMS CARE CENTER"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055049"	"PLEASANT HILL POST ACUTE"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055052"	"CALIFORNIA POST-ACUTE CARE"	33	5	22	4	"Y"	"Y"	11	1	5	33
"CA"	"055056"	"PINE GROVE HEALTHCARE & WELLNESS CENTRE, LP"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055060"	"COUNTRY VILLA WESTWOOD"	5	0	0	0	"Y"	"Y"	5	0	0	5
"CA"	"055064"	"COTTONWOOD CANYON HEALTHCARE CENTER"	5	0	3	0	"Y"	"Y"	2	0	0	5
"CA"	"055067"	"PALOMAR VISTA HEALTHCARE CENTER"	0	0	0	0	"Y"	"Y"	0	0	0	0
"CA"	"055070"	"SEACREST CONVALESCENT HOSPITAL"	0	0	0	0	"N"	""	0	0	0	0
"CA"	"055072"	"ROSECRANS CARE CENTER"	0	0	0	0	"Y"	"Y"	0	0	0	0
